Индекс,Тип региона,Регион,Тип района,Район,Тип города,Город,Тип н/п,Н/п,Код КЛАДР,Код ФИАС,Уровень по ФИАС,Признак центра района или региона,Код ОКАТО,Код ОКТМО,Код ИФНС,Часовой пояс,Широта,Долгота,Федеральный округ,Население
241000,обл,Брянская,,,г,Брянск,,,3200000100000,414b71cf-921e-4bfc-b6e0-f7395d16aaef,4: город,2,15401000000,15701000001,3200,UTC79,53.2420071,34.3652716,Центральный,415640
242600,обл,Брянская,р-н,Дятьковский,г,Дятьково,,,3200600100000,fd37b6f0-2406-41ca-86bc-57dd58fd71f4,4: город,1,15216501000,15616104001,3245,UTC80,53.5958283,34.355092,Центральный,29438
242700,обл,Брянская,р-н,Жуковский,г,Жуковка,,,3200800100000,bd51e883-748a-4c55-ac0a-eee31be1433e,4: город,1,15222501000,15622101001,3245,UTC81,53.5341219,33.7302166,Центральный,18269
243600,обл,Брянская,р-н,Злынковский,г,Злынка,,,3200900100000,9491aba8-fbc1-4da8-8ede-8d49690c393a,4: город,1,15223501000,15623101001,3241,UTC82,52.4265906,31.7360386,Центральный,5507
242500,обл,Брянская,р-н,Карачевский,г,Карачев,,,3201000100000,6f39b866-1fed-4add-aa00-e76992516660,4: город,1,15224501000,15624101001,3245,UTC83,53.1297194,34.9887859,Центральный,19715
243140,обл,Брянская,,,г,Клинцы,,,3200000300000,59cb1f1f-16f9-47eb-9487-14a6c00e8621,4: город,0,15415000000,15715000001,3200,UTC84,52.7529052,32.2339161,Центральный,62510
243220,обл,Брянская,р-н,Мглинский,г,Мглин,,,3201600100000,a4162075-13cb-4f4a-9974-ef042c8be149,4: город,1,15236501000,15636101001,3253,UTC85,53.0600644,32.8467217,Центральный,7916
243020,обл,Брянская,,,г,Новозыбков,,,3200000400000,cf4dd9d7-d152-4140-bed2-59d8be5a4e2c,4: город,0,15420000000,15720000001,3241,UTC86,52.5371426,31.9356826,Центральный,40552
243400,обл,Брянская,р-н,Почепский,г,Почеп,,,3202000100000,434c6101-648e-4266-8aca-bbbc80856d7a,4: город,1,15244501000,15644101001,3252,UTC87,52.9154724,33.4744608,Центральный,17933
242440,обл,Брянская,р-н,Севский,г,Севск,,,3202200100000,263c5f6f-335b-4cfa-a234-3c61488c3729,4: город,1,15248501000,15648101001,3245,UTC88,52.1484215,34.4918198,Центральный,7282
241550,обл,Брянская,,,г,Сельцо,,,3200000200000,485f4c4d-aced-4b94-b975-88e72b7dcb72,4: город,0,15425000000,15725000001,3245,UTC89,53.3738801,34.1059226,Центральный,17933
243240,обл,Брянская,,,г,Стародуб,,,3200000600000,78e19000-cb0d-4e86-8205-242ee9de9e75,4: город,1,15250501000,15750000,3253,UTC90,52.5851881,32.7603628,Центральный,19010
243500,обл,Брянская,р-н,Суражский,г,Сураж,,,3202500100000,565317d8-daf3-4df1-bf3d-6703b0d1500f,4: город,1,15254501000,15654101001,3253,UTC91,53.0171239,32.3938351,Центральный,11640
